Analógico 2	Analógico 1	Analógico 2
U2/V	U1/V	U2/V

22,68	4,56	22,68
22,71	4,58	22,71
22,71	4,59	22,71
22,73	4,61	22,73
22,74	4,62	22,74
22,76	4,64	22,76
22,77	4,65	22,77
22,79	4,68	22,79
22,80	4,68	22,80
22,80	4,71	22,80
22,82	4,71	22,82
22,83	4,74	22,83
22,85	4,76	22,85
22,85	4,77	22,85
22,86	4,79	22,86
22,88	4,80	22,88
22,89	4,80	22,89
22,91	4,83	22,91
22,92	4,85	22,92
22,92	4,86	22,92
22,94	4,90	22,94
22,95	4,90	22,95
22,98	4,91	22,98
22,98	4,93	22,98
23,00	4,96	23,00
23,00	4,97	23,00
23,01	4,99	23,01
23,03	5,00	23,03
23,04	5,02	23,04
23,06	5,02	23,06
23,07	5,06	23,07
23,07	5,06	23,07
23,09	5,08	23,09
23,10	5,09	23,10
23,12	5,12	23,12
23,13	5,12	23,13
23,13	5,15	23,13
23,15	5,17	23,15
23,16	5,18	23,16
23,18	5,20	23,18
23,19	5,21	23,19
23,21	5,24	23,21
23,21	5,24	23,21
23,22	5,27	23,22
23,24	5,27	23,24
23,25	5,29	23,25
23,25	5,32	23,25
23,27	5,33	23,27
23,28	5,35	23,28
23,28	5,36	23,28
23,31	5,38	23,31
23,31	5,39	23,31
23,33	5,39	23,33
23,34	5,41	23,34
23,36	5,44	23,36
23,36	5,45	23,36
23,37	5,47	23,37
23,39	5,48	23,39
23,40	5,51	23,40
23,40	5,51	23,40
23,42	5,53	23,42
23,43	5,54	23,43
23,43	5,56	23,43
23,46	5,57	23,46
23,45	5,59	23,45
23,48	5,62	23,48
23,49	5,62	23,49
23,49	5,63	23,49
23,51	5,65	23,51
23,52	5,66	23,52
23,52	5,68	23,52
23,54	5,68	23,54
23,55	5,69	23,55
23,57	5,72	23,57
23,57	5,72	23,57
23,58	5,74	23,58
23,60	5,74	23,60
23,60	5,75	23,60
23,61	5,77	23,61
23,63	5,78	23,63
23,63	5,78	23,63
23,64	5,80	23,64
23,66	5,81	23,66
23,67	5,83	23,67
23,69	5,83	23,69
23,69	5,84	23,69
23,70	5,86	23,70
23,72	5,86	23,72
23,72	5,86	23,72
23,73	5,89	23,73
23,75	5,89	23,75
23,76	5,87	23,76
23,76	5,89	23,76
23,78	5,90	23,78
23,79	5,92	23,79
23,81	5,92	23,81
23,81	5,92	23,81
23,83	5,92	23,83
23,84	5,93	23,84
23,84	5,93	23,84
23,86	5,93	23,86
23,86	5,95	23,86
23,87	5,95	23,87
23,89	5,95	23,89
23,90	5,95	23,90
23,90	5,96	23,90
23,92	5,96	23,92
23,93	5,96	23,93
23,92	5,96	23,92
23,95	5,96	23,95
23,96	5,96	23,96
23,96	5,96	23,96
23,98	5,96	23,98
23,98	5,95	23,98
23,99	5,95	23,99
24,01	5,95	24,01
24,02	5,95	24,02
24,02	5,93	24,02
24,04	5,93	24,04
24,04	5,95	24,04
24,05	5,93	24,05
24,07	5,92	24,07
24,08	5,93	24,08
24,08	5,93	24,08
24,10	5,92	24,10
24,10	5,90	24,10
24,11	5,90	24,11
24,11	5,90	24,11
24,13	5,89	24,13
24,13	5,89	24,13
24,16	5,87	24,16
24,16	5,87	24,16
24,17	5,87	24,17
24,17	5,86	24,17
24,19	5,84	24,19
24,19	5,84	24,19
24,20	5,83	24,20
24,22	5,83	24,22
24,23	5,83	24,23
24,23	5,80	24,23
24,23	5,80	24,23
24,25	5,78	24,25
24,26	5,78	24,26
24,28	5,78	24,28
24,28	5,77	24,28
24,29	5,77	24,29
24,29	5,75	24,29
24,31	5,74	24,31
24,31	5,72	24,31
24,32	5,71	24,32
24,34	5,71	24,34
24,35	5,69	24,35
24,37	5,68	24,37
24,37	5,66	24,37
24,37	5,66	24,37
24,38	5,65	24,38
24,38	5,63	24,38
24,40	5,63	24,40
24,41	5,62	24,41
24,41	5,60	24,41
24,43	5,59	24,43
24,43	5,59	24,43
24,44	5,57	24,44
24,44	5,56	24,44
24,46	5,54	24,46
24,47	5,54	24,47
24,49	5,53	24,49
24,49	5,53	24,49
24,49	5,51	24,49
24,52	5,50	24,52
24,52	5,50	24,52
24,52	5,50	24,52
24,53	5,48	24,53
24,55	5,47	24,55
24,55	5,45	24,55
24,56	5,45	24,56
24,56	5,45	24,56
24,56	5,44	24,56
24,59	5,44	24,59
24,59	5,42	24,59
24,61	5,41	24,61
24,62	5,41	24,62
24,62	5,39	24,62
24,64	5,39	24,64
24,64	5,38	24,64
24,64	5,36	24,64
24,65	5,36	24,65
24,65	5,36	24,65
24,67	5,36	24,67
24,68	5,33	24,68
24,70	5,35	24,70
24,68	5,33	24,68
24,71	5,33	24,71
24,71	5,32	24,71
24,71	5,30	24,71
24,73	5,32	24,73
24,74	5,30	24,74
24,74	5,29	24,74
24,76	5,29	24,76
24,76	5,29	24,76
24,77	5,27	24,77
24,77	5,27	24,77
24,79	5,26	24,79
24,80	5,27	24,80
24,80	5,26	24,80
24,82	5,26	24,82
24,82	5,26	24,82
24,83	5,24	24,83
24,83	5,26	24,83
24,83	5,24	24,83
24,85	5,24	24,85
24,85	5,24	24,85
24,86	5,24	24,86
24,86	5,24	24,86
24,86	5,23	24,86
